Board Game Rank,Thumbnail image,Title,Geek Rating,Avg Rating,Num Voters,Shop,description
37,https://boardgamegeek.com,"The Crew: Mission Deep Sea
(2021)


			Dive into the deep sea in this co-operative trick-taking game with variable missions.",7.837,8.12,19641,2021
38,https://boardgamegeek.com,"Everdell
(2018)


			Gather resources to develop a harmonious village of woodland critters and structures.",7.836,8.01,58200,2018
39,https://boardgamegeek.com,"Viticulture Essential Edition
(2015)


			Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.",7.831,7.98,50392,2015
40,https://boardgamegeek.com,"Heat: Pedal to the Metal
(2022)


			Manage your race car's speed to keep from overheating.",7.796,8.04,27690,2022
41,https://boardgamegeek.com,"Marvel Champions: The Card Game
(2019)


			Battle Marvel villains with unique teams of iconic heroes in this LCG.",7.795,8.12,24748,2019
42,https://boardgamegeek.com,"Food Chain Magnate
(2015)


			Strategically hire and manage your workforce to outcompete rival fast food chains.",7.793,8.05,21022,2015
43,https://boardgamegeek.com,"Pax Pamir: Second Edition
(2019)


			Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",7.785,8.17,15047,2019
44,https://boardgamegeek.com,"Underwater Cities
(2018)


			Develop future cities on the seafloor through politics, production, and science.",7.781,8.05,20507,2018
45,https://boardgamegeek.com,"Kanban EV
(2020)


			EV-factory workers optimize and innovate to stand out at the big board meeting.",7.777,8.41,8309,2020
Expand Your Collection,https://boardgamegeek.com,,,,,
46,https://boardgamegeek.com,"Crokinole
(1876)


			Flick discs and make trick shots in this traditional Canadian dexterity game!",7.775,8.04,18790,1876
47,https://boardgamegeek.com,"Sky Team
(2023)


			Pilot and co-pilot work together to land planes.",7.774,8.19,13860,2023
48,https://boardgamegeek.com,"Puerto Rico
(2002)


			Ship goods, construct buildings, and choose roles that benefit you more than others.",7.770,7.91,71891,2002
49,https://boardgamegeek.com,"Cascadia
(2021)


			Create the most harmonious ecosystem as you puzzle together habitats and wildlife.",7.761,7.93,43066,2021
50,https://boardgamegeek.com,"Caverna: The Cave Farmers
(2013)


			From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.754,7.94,35440,2013
51,https://boardgamegeek.com,"Anachrony
(2017)


			Use Exosuits & time travel to ensure your vision for the future after the cataclysm.",7.751,8.07,19441,2017
52,https://boardgamegeek.com,"Pandemic Legacy: Season 0
(2020)


			Work together during the Cold War to prevent a Soviet bio-threat.",7.750,8.39,8142,2020
53,https://boardgamegeek.com,"On Mars
(2020)


			Be a part of the first Martian colony, striving to be the best contributor.",7.749,8.18,13267,2020
54,https://boardgamegeek.com,"Blood Rage
(2015)


			Ragnarök has come! Secure your place in Valhalla in epic Viking battles.",7.746,7.92,48380,2015
55,https://boardgamegeek.com,"Agricola
(2007)


			Build your farmstead by sowing fields and raising livestock. But don't forget to eat!",7.742,7.87,73756,2007
56,https://boardgamegeek.com,"Sleeping Gods
(2021)


			Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",7.730,8.18,13124,2021
57,https://boardgamegeek.com,"Hegemony: Lead Your Class to Victory
(2023)


			Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.",7.730,8.45,7971,2023
58,https://boardgamegeek.com,"Cthulhu: Death May Die
(2019)


			Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.",7.728,8.18,13640,2019
59,https://boardgamegeek.com,"Oathsworn: Into the Deepwood
(2022)


			Fight for humanity's survival against unnatural horrors and the Deepwood itself.",7.723,8.93,5376,2022
60,https://boardgamegeek.com,"Lisboa
(2017)


			Compete to reconstruct the city of Lisboa after the great earthquake of 1755.",7.716,8.18,11562,2017
,https://boardgamegeek.com,,,,,
61,https://boardgamegeek.com,"Pandemic Legacy: Season 2
(2017)


			The world is a mystery after a devastating pandemic—where will your team go?",7.716,8.03,17267,2017
62,https://boardgamegeek.com,"Mansions of Madness: Second Edition
(2016)


			Unravel mysteries in Arkham with your investigative team in this app-guided game.",7.705,7.94,37413,2016
63,https://boardgamegeek.com,"Obsession
(2018)


			Renovate an estate, manage servants, and pursue romance in Victorian England.",7.703,8.12,13923,2018
64,https://boardgamegeek.com,"Grand Austria Hotel
(2015)


			Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.",7.697,7.95,21913,2015
65,https://boardgamegeek.com,"Tzolk'in: The Mayan Calendar
(2012)


			Lead your people, build monuments and make offerings to earn the favour of the gods.",7.695,7.85,40135,2012
66,https://boardgamegeek.com,"Power Grid
(2004)


			Bid, network, and manage resources in a race to supply the most cities with power.",7.694,7.81,66487,2004
67,https://boardgamegeek.com,"Maracaibo
(2019)


			Seafarers journey to obtain wealth and fame in the 17th century Caribbean.",7.683,8.00,17004,2019
